experiment_session_id,variant,checkout_started,payment_attempt,payment_failed,order_completed,order_value
EXP01642,Treatment,1,1,0,1,957.17
EXP01643,Control,1,1,0,1,1014.54
EXP01644,Control,1,1,0,1,576.2
EXP01645,Control,0,0,0,0,0.0
EXP01646,Control,1,1,0,1,1128.39
EXP01647,Control,1,1,0,1,1064.46
EXP01648,Control,1,1,0,1,845.52
EXP01649,Treatment,1,1,0,1,910.81
EXP01650,Treatment,1,0,0,0,0.0
EXP01651,Treatment,0,0,0,0,0.0
EXP01652,Control,1,1,0,1,1448.34
EXP01653,Control,1,1,0,1,992.0
EXP01654,Treatment,0,0,0,0,0.0
EXP01655,Treatment,1,1,0,1,444.36
EXP01656,Treatment,1,1,0,1,1485.03
EXP01657,Treatment,1,1,0,1,884.09
EXP01658,Control,1,1,0,1,1160.89
EXP01659,Control,0,0,0,0,0.0
EXP01660,Control,0,0,0,0,0.0
EXP01661,Treatment,1,1,0,1,1012.34
EXP01662,Treatment,1,1,1,0,0.0
EXP01663,Control,1,1,0,1,1206.75
EXP01664,Control,1,1,1,0,0.0
EXP01665,Control,1,1,0,1,523.7
EXP01666,Treatment,0,0,0,0,0.0
EXP01667,Treatment,1,1,0,1,863.22
EXP01668,Treatment,1,1,0,1,815.73
EXP01669,Control,1,1,0,1,821.24
EXP01670,Treatment,1,1,0,1,717.64
EXP01671,Treatment,1,1,1,0,0.0
EXP01672,Treatment,1,1,1,0,0.0
EXP01673,Control,1,1,0,1,1433.94
EXP01674,Control,1,1,0,1,507.59
EXP01675,Control,0,0,0,0,0.0
EXP01676,Treatment,1,1,0,1,1042.31
EXP01677,Treatment,1,1,0,1,625.05
EXP01678,Control,1,1,0,1,528.55
EXP01679,Control,1,0,0,0,0.0
EXP01680,Control,0,0,0,0,0.0
EXP01681,Treatment,1,1,1,0,0.0
EXP01682,Treatment,1,1,0,1,915.61
EXP01683,Control,1,1,0,1,1040.84
EXP01684,Control,1,1,0,1,694.89
EXP01685,Treatment,1,1,0,1,718.86
EXP01686,Treatment,1,1,1,0,0.0
EXP01687,Treatment,1,1,0,1,1264.22
EXP01688,Control,1,1,0,1,1199.62
EXP01689,Control,1,1,0,1,1311.52
EXP01690,Control,1,1,0,1,1529.14
EXP01691,Control,1,1,0,1,676.73
EXP01692,Treatment,1,1,0,1,1423.31
EXP01693,Treatment,1,1,0,1,804.35
EXP01694,Treatment,1,1,0,1,734.96
EXP01695,Control,1,1,0,1,842.77
EXP01696,Control,1,1,1,0,0.0
EXP01697,Control,0,0,0,0,0.0
EXP01698,Control,1,1,0,1,629.03
EXP01699,Treatment,1,1,1,0,0.0
EXP01700,Treatment,1,1,1,0,0.0
EXP01701,Control,1,1,0,1,559.49
EXP01702,Treatment,0,0,0,0,0.0
EXP01703,Treatment,1,1,0,1,1523.56
EXP01704,Treatment,1,1,0,1,844.96
EXP01705,Control,0,0,0,0,0.0
EXP01706,Treatment,1,1,0,1,479.35
EXP01707,Control,1,1,0,1,1352.89
EXP01708,Treatment,0,0,0,0,0.0
EXP01709,Treatment,1,1,1,0,0.0
EXP01710,Treatment,1,1,0,1,816.7
EXP01711,Treatment,1,1,1,0,0.0
EXP01712,Treatment,1,1,0,1,468.59
EXP01713,Treatment,1,1,0,1,457.35
EXP01714,Treatment,1,1,0,1,662.29
EXP01715,Treatment,1,1,0,1,342.51
EXP01716,Treatment,0,0,0,0,0.0
EXP01717,Control,1,1,0,1,605.56
EXP01718,Control,1,1,0,1,611.3
EXP01719,Control,0,0,0,0,0.0
EXP01720,Control,1,1,0,1,1061.24
EXP01721,Treatment,1,1,0,1,396.4
EXP01722,Treatment,1,1,0,1,675.14
EXP01723,Control,1,0,0,0,0.0
EXP01724,Treatment,1,0,0,0,0.0
EXP01725,Control,1,1,0,1,419.21
EXP01726,Treatment,1,1,0,1,939.45
EXP01727,Control,1,1,0,1,602.03
EXP01728,Treatment,1,1,0,1,738.53
EXP01729,Treatment,1,1,0,1,762.76
EXP01730,Control,1,0,0,0,0.0
EXP01731,Treatment,1,1,0,1,668.16
EXP01732,Control,0,0,0,0,0.0
EXP01733,Treatment,1,1,1,0,0.0
EXP01734,Treatment,1,1,0,1,820.68
EXP01735,Control,1,1,0,1,646.79
EXP01736,Treatment,1,1,0,1,962.04
EXP01737,Treatment,0,0,0,0,0.0
EXP01738,Treatment,0,0,0,0,0.0
EXP01739,Control,1,1,0,1,788.2
EXP01740,Control,0,0,0,0,0.0
EXP01741,Treatment,0,0,0,0,0.0
EXP01742,Control,1,1,1,0,0.0
EXP01743,Treatment,1,1,0,1,682.25
EXP01744,Control,0,0,0,0,0.0
EXP01745,Treatment,1,1,0,1,688.12
EXP01746,Control,1,1,0,1,1514.11
EXP01747,Treatment,1,1,0,1,498.0
EXP01748,Control,1,1,0,1,934.53
EXP01749,Control,1,1,0,1,403.09
EXP01750,Control,0,0,0,0,0.0
EXP01751,Control,1,1,1,0,0.0
EXP01752,Control,1,1,0,1,908.4
EXP01753,Control,1,1,0,1,847.45
EXP01754,Control,0,0,0,0,0.0
EXP01755,Control,0,0,0,0,0.0
EXP01756,Control,1,1,0,1,789.34
EXP01757,Control,1,1,0,1,1205.91
EXP01758,Control,1,1,0,1,1119.37
EXP01759,Treatment,1,1,0,1,767.49
EXP01760,Control,1,1,0,1,790.8
EXP01761,Treatment,1,1,0,1,1565.62
EXP01762,Control,1,1,0,1,751.0
EXP01763,Treatment,0,0,0,0,0.0
EXP01764,Control,1,1,0,1,482.1
EXP01765,Control,0,0,0,0,0.0
EXP01766,Treatment,1,1,0,1,797.32
EXP01767,Control,1,0,0,0,0.0
EXP01768,Control,0,0,0,0,0.0
EXP01769,Treatment,1,1,0,1,657.82
EXP01770,Control,0,0,0,0,0.0
EXP01771,Treatment,1,1,1,0,0.0
EXP01772,Control,1,1,0,1,646.33
EXP01773,Control,1,1,0,1,576.51
EXP01774,Treatment,1,1,0,1,1162.46
EXP01775,Treatment,1,1,0,1,526.5
EXP01776,Treatment,1,1,0,1,974.35
EXP01777,Control,1,1,0,1,624.64
EXP01778,Control,1,1,0,1,1138.07
EXP01779,Control,1,1,0,1,844.38
EXP01780,Control,0,0,0,0,0.0
EXP01781,Control,1,1,0,1,1331.03
EXP01782,Control,1,1,0,1,1004.61
EXP01783,Treatment,0,0,0,0,0.0
EXP01784,Control,1,1,0,1,651.63
EXP01785,Control,1,1,0,1,1200.53
EXP01786,Treatment,0,0,0,0,0.0
EXP01787,Treatment,1,1,0,1,1234.71
EXP01788,Control,1,1,0,1,871.64
EXP01789,Control,1,1,0,1,938.61
EXP01790,Treatment,1,1,0,1,516.57
EXP01791,Control,1,1,0,1,720.55
EXP01792,Treatment,1,1,0,1,527.79
EXP01793,Control,1,1,0,1,453.25
EXP01794,Control,0,0,0,0,0.0
EXP01795,Treatment,1,1,0,1,751.51
EXP01796,Control,0,0,0,0,0.0
EXP01797,Treatment,1,0,0,0,0.0
EXP01798,Treatment,1,1,0,1,1065.51
EXP01799,Control,1,1,0,1,674.98
EXP01800,Control,1,1,0,1,1204.62
EXP01801,Treatment,0,0,0,0,0.0
EXP01802,Treatment,1,1,1,0,0.0
EXP01803,Control,1,1,1,0,0.0
EXP01804,Treatment,1,1,0,1,713.45
EXP01805,Treatment,1,1,0,1,817.75
EXP01806,Treatment,1,1,0,1,887.32
EXP01807,Control,0,0,0,0,0.0
EXP01808,Treatment,1,1,0,1,487.63
EXP01809,Treatment,1,0,0,0,0.0
EXP01810,Treatment,1,1,0,1,1009.07
EXP01811,Control,1,1,0,1,496.96
EXP01812,Control,1,1,0,1,824.18
EXP01813,Control,0,0,0,0,0.0
EXP01814,Control,1,1,0,1,889.94
EXP01815,Treatment,1,1,0,1,659.26
EXP01816,Control,1,1,0,1,479.76
EXP01817,Treatment,1,1,0,1,1369.59
EXP01818,Treatment,1,1,0,1,1418.1
EXP01819,Control,1,1,0,1,1017.88
EXP01820,Treatment,1,1,1,0,0.0
EXP01821,Control,1,1,0,1,789.75
EXP01822,Treatment,1,1,1,0,0.0
EXP01823,Treatment,1,1,0,1,935.24
EXP01824,Treatment,0,0,0,0,0.0
EXP01825,Control,1,1,0,1,593.86
EXP01826,Control,0,0,0,0,0.0
EXP01827,Treatment,0,0,0,0,0.0
EXP01828,Control,0,0,0,0,0.0
EXP01829,Control,1,0,0,0,0.0
EXP01830,Control,1,1,0,1,587.76
EXP01831,Control,1,1,0,1,655.45
EXP01832,Control,1,1,0,1,900.46
EXP01833,Control,0,0,0,0,0.0
EXP01834,Treatment,1,1,0,1,1222.03
EXP01835,Treatment,1,1,1,0,0.0
EXP01836,Treatment,1,1,0,1,1061.94
EXP01837,Treatment,1,1,0,1,616.07
EXP01838,Control,1,1,0,1,829.81
EXP01839,Control,1,1,1,0,0.0
EXP01840,Treatment,1,1,0,1,1646.66
EXP01841,Control,0,0,0,0,0.0
EXP01842,Control,1,1,0,1,918.98
EXP01843,Control,1,1,1,0,0.0
EXP01844,Control,1,1,0,1,514.28
EXP01845,Control,1,1,0,1,612.72
EXP01846,Control,0,0,0,0,0.0
EXP01847,Treatment,1,1,0,1,571.71
EXP01848,Control,1,1,0,1,602.37
EXP01849,Control,1,1,0,1,603.04
EXP01850,Treatment,0,0,0,0,0.0
EXP01851,Control,1,1,0,1,820.48
EXP01852,Treatment,1,1,1,0,0.0
EXP01853,Control,1,1,0,1,581.9
EXP01854,Control,0,0,0,0,0.0
EXP01855,Control,0,0,0,0,0.0
EXP01856,Control,1,1,0,1,767.75
EXP01857,Control,1,1,0,1,721.66
EXP01858,Treatment,1,1,0,1,1218.15
EXP01859,Control,0,0,0,0,0.0
EXP01860,Treatment,1,1,0,1,539.82
EXP01861,Treatment,1,0,0,0,0.0
EXP01862,Treatment,1,1,0,1,815.37
EXP01863,Control,0,0,0,0,0.0
EXP01864,Treatment,1,1,0,1,776.96
EXP01865,Treatment,1,1,0,1,807.02
EXP01866,Treatment,1,1,0,1,846.37
EXP01867,Control,0,0,0,0,0.0
EXP01868,Control,0,0,0,0,0.0
EXP01869,Treatment,1,1,0,1,949.34
EXP01870,Treatment,1,1,0,1,782.44
EXP01871,Control,1,1,0,1,935.7
EXP01872,Control,1,1,0,1,723.16
EXP01873,Treatment,1,1,0,1,893.26
EXP01874,Treatment,1,1,0,1,956.88
EXP01875,Control,1,1,0,1,653.11
EXP01876,Control,1,1,0,1,471.52
EXP01877,Control,1,1,0,1,1275.69
EXP01878,Treatment,1,1,0,1,989.59
EXP01879,Treatment,1,1,0,1,680.28
EXP01880,Control,1,1,0,1,765.61
EXP01881,Treatment,0,0,0,0,0.0
EXP01882,Treatment,0,0,0,0,0.0
EXP01883,Treatment,1,1,0,1,1042.53
EXP01884,Treatment,1,1,0,1,962.84
EXP01885,Control,0,0,0,0,0.0
EXP01886,Treatment,0,0,0,0,0.0
EXP01887,Control,1,1,0,1,1042.85
EXP01888,Treatment,1,1,0,1,715.79
EXP01889,Treatment,1,1,0,1,919.24
EXP01890,Treatment,1,1,1,0,0.0
EXP01891,Control,1,1,0,1,573.99
EXP01892,Treatment,1,1,0,1,826.24
EXP01893,Control,1,1,0,1,1021.22
EXP01894,Treatment,1,1,0,1,802.51
EXP01895,Control,1,0,0,0,0.0
EXP01896,Control,1,1,0,1,804.59
EXP01897,Treatment,0,0,0,0,0.0
EXP01898,Control,1,0,0,0,0.0
EXP01899,Control,1,1,0,1,615.61
EXP01900,Control,1,1,0,1,1011.4
EXP01901,Control,1,1,0,1,786.54
EXP01902,Treatment,1,0,0,0,0.0
EXP01903,Control,1,1,0,1,499.16
EXP01904,Control,1,0,0,0,0.0
EXP01905,Treatment,1,1,0,1,838.15
EXP01906,Treatment,1,1,0,1,527.31
EXP01907,Control,1,1,1,0,0.0
EXP01908,Control,1,1,0,1,1254.49
EXP01909,Treatment,1,1,0,1,748.98
EXP01910,Control,0,0,0,0,0.0
EXP01911,Control,1,1,0,1,806.33
EXP01912,Control,1,1,0,1,693.65
EXP01913,Treatment,0,0,0,0,0.0
EXP01914,Control,1,1,0,1,679.01
EXP01915,Control,1,1,1,0,0.0
EXP01916,Control,1,1,0,1,1489.74
EXP01917,Control,1,1,0,1,346.3
EXP01918,Treatment,1,1,0,1,689.86
EXP01919,Treatment,1,1,0,1,728.93
EXP01920,Treatment,1,1,0,1,599.36
EXP01921,Control,1,1,0,1,578.74
EXP01922,Control,0,0,0,0,0.0
EXP01923,Treatment,1,1,0,1,941.6
EXP01924,Treatment,1,1,0,1,902.01
EXP01925,Control,0,0,0,0,0.0
EXP01926,Treatment,0,0,0,0,0.0
EXP01927,Treatment,1,1,1,0,0.0
EXP01928,Treatment,1,1,0,1,1029.06
EXP01929,Control,1,1,0,1,742.61
EXP01930,Control,1,1,0,1,1037.46
EXP01931,Treatment,1,1,0,1,623.6
EXP01932,Control,1,1,0,1,762.31
EXP01933,Treatment,0,0,0,0,0.0
EXP01934,Control,1,1,0,1,384.29
EXP01935,Treatment,1,1,0,1,1145.59
EXP01936,Treatment,0,0,0,0,0.0
EXP01937,Control,1,1,0,1,843.11
EXP01938,Control,1,1,0,1,1192.52
EXP01939,Treatment,1,1,1,0,0.0
EXP01940,Treatment,1,1,0,1,866.0
EXP01941,Control,0,0,0,0,0.0
EXP01942,Control,1,1,1,0,0.0
EXP01943,Treatment,1,1,0,1,486.96
EXP01944,Control,1,0,0,0,0.0
EXP01945,Control,0,0,0,0,0.0
EXP01946,Control,1,1,0,1,678.91
EXP01947,Control,1,1,0,1,573.49
EXP01948,Treatment,1,1,0,1,687.86
EXP01949,Treatment,1,1,0,1,672.21
EXP01950,Treatment,1,1,0,1,856.75
EXP01951,Control,1,1,0,1,764.6
EXP01952,Control,1,1,0,1,773.73
EXP01953,Control,0,0,0,0,0.0
EXP01954,Control,1,1,0,1,901.13
EXP01955,Control,1,1,1,0,0.0
EXP01956,Control,1,1,0,1,720.62
EXP01957,Treatment,1,1,0,1,810.45
EXP01958,Control,1,1,0,1,913.27
EXP01959,Treatment,1,1,0,1,515.8
EXP01960,Control,1,1,0,1,675.37
EXP01961,Treatment,1,1,0,1,801.43
EXP01962,Control,1,1,0,1,1045.84
EXP01963,Treatment,1,0,0,0,0.0
EXP01964,Control,1,1,0,1,751.44
EXP01965,Treatment,1,1,0,1,690.36
EXP01966,Treatment,1,1,0,1,607.58
EXP01967,Treatment,1,1,0,1,582.7
EXP01968,Treatment,1,1,1,0,0.0
EXP01969,Control,1,1,0,1,782.21
EXP01970,Control,1,1,0,1,600.15
EXP01971,Treatment,0,0,0,0,0.0
EXP01972,Control,1,1,0,1,978.47
EXP01973,Treatment,1,1,0,1,771.6
EXP01974,Treatment,1,1,0,1,1232.07
EXP01975,Treatment,0,0,0,0,0.0
EXP01976,Treatment,0,0,0,0,0.0
EXP01977,Control,0,0,0,0,0.0
EXP01978,Control,0,0,0,0,0.0
EXP01979,Control,1,1,0,1,924.83
EXP01980,Treatment,0,0,0,0,0.0
EXP01981,Treatment,0,0,0,0,0.0
EXP01982,Treatment,1,1,0,1,455.77
EXP01983,Control,1,1,0,1,988.53
EXP01984,Control,1,1,0,1,933.05
EXP01985,Control,0,0,0,0,0.0
EXP01986,Control,1,1,0,1,658.89
EXP01987,Treatment,1,1,0,1,578.89
EXP01988,Control,1,1,1,0,0.0
EXP01989,Treatment,0,0,0,0,0.0
EXP01990,Control,1,1,0,1,751.01
EXP01991,Treatment,0,0,0,0,0.0
EXP01992,Control,1,1,0,1,1106.33
EXP01993,Treatment,1,1,0,1,968.28
EXP01994,Treatment,1,1,0,1,907.51
EXP01995,Treatment,1,1,0,1,789.46
EXP01996,Treatment,1,1,0,1,577.73
EXP01997,Treatment,1,0,0,0,0.0
EXP01998,Control,1,1,0,1,807.92
EXP01999,Treatment,1,1,0,1,803.47
EXP02000,Treatment,1,1,1,0,0.0
EXP02001,Treatment,1,1,0,1,878.95
EXP02002,Control,1,1,0,1,896.03
EXP02003,Treatment,0,0,0,0,0.0
EXP02004,Control,1,1,0,1,518.89
EXP02005,Treatment,1,1,0,1,551.35
EXP02006,Control,0,0,0,0,0.0
EXP02007,Control,1,1,0,1,657.22
EXP02008,Treatment,1,1,0,1,1313.5
EXP02009,Control,1,1,0,1,833.18
EXP02010,Control,1,1,0,1,505.08
EXP02011,Control,1,1,0,1,730.89
EXP02012,Control,1,1,0,1,583.07
EXP02013,Control,1,1,0,1,397.29
EXP02014,Control,0,0,0,0,0.0
EXP02015,Control,0,0,0,0,0.0
EXP02016,Treatment,1,1,0,1,1031.06
EXP02017,Control,0,0,0,0,0.0
EXP02018,Control,1,1,0,1,605.63
EXP02019,Control,1,1,0,1,1424.41
EXP02020,Control,0,0,0,0,0.0
EXP02021,Treatment,1,1,0,1,800.15
EXP02022,Treatment,1,1,0,1,698.03
EXP02023,Treatment,0,0,0,0,0.0
EXP02024,Control,1,1,0,1,613.71
EXP02025,Control,1,1,0,1,602.09
EXP02026,Treatment,1,1,0,1,1024.74
EXP02027,Treatment,1,1,0,1,748.95
EXP02028,Treatment,1,1,0,1,423.49
EXP02029,Treatment,0,0,0,0,0.0
EXP02030,Control,1,1,0,1,1021.56
EXP02031,Treatment,0,0,0,0,0.0
EXP02032,Treatment,1,1,0,1,1073.12
EXP02033,Treatment,1,1,0,1,1299.61
EXP02034,Treatment,1,1,0,1,358.22
EXP02035,Control,1,0,0,0,0.0
EXP02036,Control,0,0,0,0,0.0
EXP02037,Control,0,0,0,0,0.0
EXP02038,Control,1,1,0,1,581.82
EXP02039,Treatment,1,1,0,1,1139.69
EXP02040,Treatment,1,1,0,1,913.74
EXP02041,Control,1,1,0,1,1090.23
EXP02042,Treatment,1,1,0,1,1318.71
EXP02043,Control,1,1,0,1,612.23
EXP02044,Control,1,1,1,0,0.0
EXP02045,Treatment,0,0,0,0,0.0
EXP02046,Control,1,1,0,1,611.08
EXP02047,Treatment,1,1,0,1,878.04
EXP02048,Control,1,1,0,1,445.38
EXP02049,Control,1,1,0,1,709.74
EXP02050,Treatment,1,1,1,0,0.0
EXP02051,Treatment,1,1,0,1,780.72
EXP02052,Control,1,0,0,0,0.0
EXP02053,Control,0,0,0,0,0.0
EXP02054,Control,1,1,0,1,745.81
EXP02055,Treatment,1,1,0,1,819.78
EXP02056,Treatment,1,1,1,0,0.0
EXP02057,Control,1,1,0,1,685.02
EXP02058,Control,0,0,0,0,0.0
EXP02059,Treatment,0,0,0,0,0.0
EXP02060,Control,1,1,0,1,812.99
EXP02061,Control,1,1,0,1,916.45
EXP02062,Control,1,1,0,1,646.66
EXP02063,Treatment,1,1,0,1,882.62
EXP02064,Treatment,0,0,0,0,0.0
EXP02065,Control,1,1,0,1,1049.48
EXP02066,Treatment,1,1,0,1,1228.63
EXP02067,Treatment,1,1,0,1,575.36
EXP02068,Control,1,1,1,0,0.0
EXP02069,Treatment,1,1,0,1,793.94
EXP02070,Control,1,1,0,1,588.75
EXP02071,Treatment,1,1,0,1,565.21
EXP02072,Control,1,1,0,1,629.14
EXP02073,Control,1,1,0,1,836.17
EXP02074,Treatment,1,1,0,1,922.28
EXP02075,Treatment,1,1,0,1,570.3
EXP02076,Treatment,1,1,0,1,792.0
EXP02077,Treatment,1,1,0,1,938.33
EXP02078,Control,1,1,0,1,685.25
EXP02079,Control,1,1,0,1,612.17
EXP02080,Control,1,1,0,1,809.77
EXP02081,Control,0,0,0,0,0.0
EXP02082,Treatment,1,1,0,1,818.97
EXP02083,Treatment,1,1,0,1,674.32
EXP02084,Control,1,1,0,1,678.97
EXP02085,Treatment,1,1,1,0,0.0
EXP02086,Control,1,1,0,1,1054.12
EXP02087,Control,1,1,0,1,782.08
EXP02088,Control,0,0,0,0,0.0
EXP02089,Treatment,1,1,0,1,479.94
EXP02090,Treatment,1,1,0,1,1153.05
EXP02091,Control,0,0,0,0,0.0
EXP02092,Treatment,1,1,0,1,707.05
EXP02093,Treatment,1,1,1,0,0.0
EXP02094,Treatment,1,1,0,1,907.89
EXP02095,Treatment,1,1,0,1,941.12
EXP02096,Control,1,1,0,1,883.94
EXP02097,Treatment,1,1,0,1,812.95
EXP02098,Treatment,1,1,0,1,411.48
EXP02099,Treatment,1,1,0,1,622.05
EXP02100,Treatment,1,1,0,1,565.9
EXP02101,Control,1,1,0,1,546.19
EXP02102,Control,1,1,1,0,0.0
EXP02103,Control,1,1,0,1,600.88
EXP02104,Treatment,1,1,1,0,0.0
EXP02105,Control,1,1,0,1,839.72
EXP02106,Treatment,1,1,0,1,449.82
EXP02107,Control,1,1,0,1,669.68
EXP02108,Treatment,1,1,1,0,0.0
EXP02109,Control,0,0,0,0,0.0
EXP02110,Treatment,1,1,0,1,1058.22
EXP02111,Treatment,1,1,0,1,883.42
EXP02112,Treatment,1,1,0,1,503.68
EXP02113,Treatment,1,1,0,1,809.52
EXP02114,Control,1,0,0,0,0.0
EXP02115,Control,1,1,0,1,605.42
EXP02116,Control,1,1,0,1,825.12
EXP02117,Control,1,1,0,1,836.55
EXP02118,Treatment,1,1,0,1,957.68
EXP02119,Treatment,0,0,0,0,0.0
EXP02120,Control,0,0,0,0,0.0
EXP02121,Control,0,0,0,0,0.0
EXP02122,Treatment,0,0,0,0,0.0
EXP02123,Treatment,1,1,0,1,737.14
EXP02124,Treatment,1,1,0,1,849.72
EXP02125,Control,1,1,0,1,860.03
EXP02126,Control,1,1,1,0,0.0
EXP02127,Treatment,1,1,0,1,854.83
EXP02128,Treatment,0,0,0,0,0.0
EXP02129,Control,1,1,0,1,864.74
EXP02130,Treatment,1,1,0,1,631.79
EXP02131,Control,0,0,0,0,0.0
EXP02132,Control,1,1,0,1,781.29
EXP02133,Treatment,1,1,0,1,1062.72
EXP02134,Treatment,0,0,0,0,0.0
EXP02135,Treatment,1,1,0,1,874.28
EXP02136,Control,1,1,0,1,947.87
EXP02137,Treatment,1,1,0,1,686.06
EXP02138,Treatment,1,1,1,0,0.0
EXP02139,Control,1,1,0,1,1263.65
EXP02140,Control,1,1,0,1,670.89
EXP02141,Treatment,1,1,0,1,740.84
EXP02142,Treatment,1,1,0,1,1299.11
EXP02143,Treatment,1,1,1,0,0.0
EXP02144,Treatment,1,1,0,1,788.25
EXP02145,Control,1,0,0,0,0.0
EXP02146,Control,0,0,0,0,0.0
EXP02147,Control,1,1,0,1,487.69
EXP02148,Treatment,1,1,0,1,925.26
EXP02149,Treatment,1,1,0,1,710.77
EXP02150,Control,0,0,0,0,0.0
EXP02151,Treatment,1,1,0,1,741.72
EXP02152,Treatment,0,0,0,0,0.0
EXP02153,Treatment,0,0,0,0,0.0
EXP02154,Treatment,0,0,0,0,0.0
EXP02155,Treatment,1,1,0,1,981.52
EXP02156,Treatment,0,0,0,0,0.0
EXP02157,Control,0,0,0,0,0.0
EXP02158,Treatment,1,1,0,1,730.99
EXP02159,Treatment,1,1,0,1,508.79
EXP02160,Treatment,1,1,0,1,732.81
EXP02161,Treatment,1,1,0,1,1133.94
EXP02162,Treatment,1,1,0,1,1220.79
EXP02163,Control,0,0,0,0,0.0
EXP02164,Treatment,1,1,0,1,497.33
EXP02165,Control,1,1,0,1,623.43
EXP02166,Control,0,0,0,0,0.0
EXP02167,Treatment,1,1,0,1,528.73
EXP02168,Control,1,1,0,1,954.65
EXP02169,Control,0,0,0,0,0.0
EXP02170,Treatment,1,1,0,1,1118.82
EXP02171,Control,1,1,0,1,685.99
EXP02172,Treatment,0,0,0,0,0.0
EXP02173,Control,1,1,0,1,644.41
EXP02174,Treatment,1,1,0,1,703.44
EXP02175,Control,1,1,0,1,979.29
EXP02176,Treatment,1,1,0,1,959.56
EXP02177,Control,1,1,0,1,810.18
EXP02178,Treatment,0,0,0,0,0.0
EXP02179,Treatment,0,0,0,0,0.0
EXP02180,Treatment,1,1,0,1,1117.12
EXP02181,Control,1,1,0,1,909.39
EXP02182,Control,1,1,0,1,642.65
EXP02183,Treatment,0,0,0,0,0.0
EXP02184,Treatment,1,1,0,1,635.17
EXP02185,Treatment,1,1,0,1,708.36
EXP02186,Treatment,1,1,0,1,915.56
EXP02187,Treatment,1,1,0,1,1416.29
EXP02188,Control,1,1,0,1,913.87
EXP02189,Treatment,1,1,0,1,969.21
EXP02190,Treatment,1,1,0,1,880.22
EXP02191,Treatment,1,1,0,1,1602.03
EXP02192,Control,1,1,1,0,0.0
EXP02193,Control,0,0,0,0,0.0
EXP02194,Control,1,1,0,1,647.78
EXP02195,Control,1,1,0,1,636.36
EXP02196,Treatment,1,1,0,1,801.58
EXP02197,Control,1,0,0,0,0.0
EXP02198,Control,0,0,0,0,0.0
EXP02199,Treatment,1,1,0,1,546.61
EXP02200,Control,1,1,0,1,493.71
EXP02201,Treatment,1,1,0,1,685.62
EXP02202,Control,1,1,0,1,590.08
EXP02203,Control,1,1,0,1,886.46
EXP02204,Control,0,0,0,0,0.0
EXP02205,Treatment,1,1,0,1,701.5
EXP02206,Treatment,0,0,0,0,0.0
EXP02207,Control,1,1,0,1,532.58
EXP02208,Control,1,1,0,1,1039.0
EXP02209,Control,0,0,0,0,0.0
EXP02210,Control,1,1,0,1,915.32
EXP02211,Control,0,0,0,0,0.0
EXP02212,Treatment,1,1,0,1,903.02
EXP02213,Control,0,0,0,0,0.0
EXP02214,Control,1,1,0,1,1053.83
EXP02215,Treatment,0,0,0,0,0.0
EXP02216,Control,1,1,0,1,467.77
EXP02217,Treatment,1,1,0,1,377.6
EXP02218,Control,1,1,0,1,718.67
EXP02219,Treatment,1,1,1,0,0.0
EXP02220,Treatment,1,1,0,1,837.01
EXP02221,Treatment,1,1,0,1,899.68
EXP02222,Treatment,1,1,0,1,447.65
EXP02223,Treatment,1,1,0,1,770.31
EXP02224,Treatment,1,1,0,1,718.13
EXP02225,Treatment,1,0,0,0,0.0
EXP02226,Treatment,1,1,0,1,875.59
EXP02227,Control,1,1,0,1,559.44
EXP02228,Control,1,1,0,1,1541.81
EXP02229,Control,1,1,0,1,652.21
EXP02230,Treatment,0,0,0,0,0.0
EXP02231,Control,0,0,0,0,0.0
EXP02232,Control,1,1,0,1,712.22
EXP02233,Control,1,1,0,1,840.31
EXP02234,Treatment,0,0,0,0,0.0
EXP02235,Treatment,1,1,0,1,1009.09
EXP02236,Control,1,1,0,1,1118.82
EXP02237,Control,1,0,0,0,0.0
EXP02238,Treatment,0,0,0,0,0.0
EXP02239,Control,1,1,0,1,846.25
EXP02240,Control,1,1,0,1,642.0
EXP02241,Treatment,1,1,0,1,854.41
EXP02242,Control,1,1,0,1,636.65
EXP02243,Control,1,1,0,1,1142.44
EXP02244,Control,1,1,0,1,798.66
EXP02245,Treatment,1,1,0,1,785.48
EXP02246,Control,1,1,0,1,1496.08
EXP02247,Treatment,1,0,0,0,0.0
EXP02248,Control,1,1,0,1,874.82
EXP02249,Control,1,1,0,1,835.55
EXP02250,Control,1,1,0,1,1027.06
EXP02251,Control,1,1,0,1,648.44
EXP02252,Control,1,1,0,1,785.78
EXP02253,Control,1,1,0,1,479.21
EXP02254,Treatment,0,0,0,0,0.0
EXP02255,Treatment,1,1,0,1,467.37
EXP02256,Treatment,1,1,0,1,1095.61
EXP02257,Treatment,1,1,0,1,897.09
EXP02258,Control,1,1,0,1,845.63
EXP02259,Treatment,1,1,0,1,285.02
EXP02260,Treatment,1,1,0,1,484.0
EXP02261,Treatment,1,1,0,1,687.22
EXP02262,Treatment,1,1,0,1,859.58
EXP02263,Treatment,1,1,0,1,343.18
EXP02264,Treatment,0,0,0,0,0.0
EXP02265,Control,0,0,0,0,0.0
EXP02266,Control,1,1,0,1,715.09
EXP02267,Treatment,0,0,0,0,0.0
EXP02268,Treatment,1,1,1,0,0.0
EXP02269,Control,0,0,0,0,0.0
EXP02270,Treatment,1,1,0,1,907.33
EXP02271,Control,1,1,1,0,0.0
EXP02272,Treatment,1,1,0,1,1145.8
